Star Rating,Headline,Review Text
'5'.'0',I wasn't meant to get up with the sun,"If you are having problems sleeping due to light, buy this! We have been staying at my mother-in-laws for months now taking care of her after my father-in-law passed. Our bedroom here faces east and nothing is stopping the sun coming through at 5:30 in the morning plus the neighbor has a light that shines right through the window:( My husband also works nights so as a day sleeper he has light all day. Our room at home is much darker so all of this light has been difficult to sleep through. I bought these sleep masks on Prime Day out of desperation and it has been a game changer. They are comfortable, which I didn't think they would be, and I am actually sleeping. My husband, who was reluctant to try it, now uses one and has been able to sleep during the day.Final verdict-I would recommendI would buy again"
'5'.'0',"So happy I ordered these eye masks!  The masks  block out all the light, are comfortable to wear and they don't press up against your eyes.",Totally blocks the street light that shines in my window at night
'5'.'0',The city installed a new light but this totally solved my problem. Comfortable and long,"Havent had a problem with them, I love them. I cant see anything when its on my eyes. Theyre good, you should buy them."
'5'.'0',Very comfortable and opaque,These masks are padded and shaped for comfort. The three colors are nice. Most importantly they keep daylight or lamplight out of sight as you sleep. Recommended.
'5'.'0',Love these eye masks they Dent out ever so slightly around the eye to make them comfortable for blinking and they still block out all the light,These are very good quality & soft.  I love them!
'5'.'0',These were very comfortable. The material is silky & smooth.  Best ones I've ever had!,"I really like these in the cooler weather, but in summer they are just too hot."
'5'.'0',Comfortable & Blocks Light,"These eye covers are great! The contour for the eyes allows your eyelids to move without feeling restricted. The masks are adjustable and washable. They do a great job of blocking light, even at the edges of the mask. The price is great too!"
'5'.'0',Very comfortable and effective!,"I liked the color combinations available, but the real selling point is the comfort and the design of the eye masks. The design allows for you to open your eyes in a raised area, so that your eyelashes arent touching the fabric. The other part of the design is that it excels in blocking out light. If you adjust them correctly you can achieve almost total darkness even with your eyes open. I have used these in a clinic setting, and if the room is darkened to begin with, it is completely effective in blocking out the light."
'5'.'0',"Well made, esp for the price.","I bought these for my friend and my long overnight flights. The padding was just right, thick yet light enough it didnt feel heavy on the face. Sorta silky feel, wasnt scratchy. The indents/pockets for the eye comfort was a great feature. Total blackout for sleeping on the flights.  I would definately recommend!"
'5'.'0',Very light & comfortable,I really like these sleep masks! They are very soft/lightweight and not restrictive at all. Blocks out any light perfectly. They were a lifesaver on a recent trip I took that had very bright hotel room at night. Now I always pack them when I'm traveling.
'5'.'0',Ive used a sleep mask for many years.  These are by far the best Ive ever had.  I especially like the contour for your eyes so there isnt fabric laying right on top.,Blocks light without smashing your face!
'5'.'0',My kid and I call these are eye bras. They are fantastic at blocking light and very comfortable. Most of the light leaks are gone. I switched to these after using traditional ones for a long time because they smooshed my eye lashes. I can no longer feel pressure on my eyes with these.,Perfect eye masks. These are the most comfortable ones Ive ever used and theyre not that expensive. Also glad it comes in a 3-pack because I somehow always lose one every few months.
'5'.'0',So comfortable to sleep in!!,Never had one like this but Im loving it! It blocks light 100% and does not put pressure on my eyes! Soft on my skin as well.  Very well made!
'5'.'0',Bought these in a whim. My old mask needed replacing and spotted these while browsing. They work great at keeping light out. Adjustable. Breathable. Easy to clean.,Is it ambien? No but close!
'5'.'0',"I was worried the strap would give me a headache. Headbands give me a headache so I was worried the strap would be a dealbreaker. I was wrong! The darkness relaxes you, and you're asleep in no time.",These is the best sleep mask Ive used! So comfortable and blocks out all the light. And it stays on all night. No other mask has done that. You can fully open your eyes without your eyelashes hitting the material.
'5'.'0',Exactly what I needed for a good nights sleep!,"These sleep eye masks were PERFECT for what I was looking for. Light, soft, and comfortable. I only used it one night but it was a great night of sleep compared to previous days. When I put on the sleep mask, I totally forgot that they were even there. The cupped eyes also added to the comfort.I will say that there was a little bit of light leakage below the nose and right between the eyebrows, however, in a dark room it is totally not a problem. I also cannot attest to the durability of them but time will tell. These seem pretty solid for now!Overall, this was a great product purchase for me and am glad to finally have a quality sleep mask. I would highly recommend these to anyone."
'5'.'0',Great! Eye mask thats cupped & doesnt touch your eyeball.,"These eye masks are amazing! They are neoprene and cupped where the eyeball is only to not touch your eyeball. I sleep with my eyes open, as is hereditary and not uncommon. When I sleep my eyes get dry, and light bothers them, but when I wear these neoprene masks they work to block the light and keep the moisture retained in my eye! Also, you get three, so theyre easy to hand wash with soap squeeze out and hang to dry over a towel to dry overnight, and then you have extra to wear a dry one to bed in the meantime. And you can give one to a family member or friend too. Family loves them too. Love these!!"
'5'.'0',"I initially bought these to take to the hospital when I had my son last week, but forgot to use them. When we got home we discovered he screams if the room is as dark as I like it, so we have three soft lights around the room that make it hard for me to sleep. I decided to give these a go and they are fantastic! Ive never been able to use a sleep mask before but between the eye curve and the adjustable strap, they are comfortable, I dont overheat, and they dont leave a big mark in my face. 100% recommend. Im a side and back sleeper.",Honestly pretty fantastic!
'5'.'0',"I have a hard time sleeping when its not completely pitch dark, maybe its an OCD thing but if I know theres some light, even if I cant see it, it bugs me. Ive tried sleep masks before but theyre not comfortable, they slide around too much and press on my eyes which hurts. These eye masks are really good!The strap stays in place without feeling like its slicing off my ears. The foamy material is very comfortable. The divots for your eyes leaves no pressure on them which is great. And they block out light pretty damn well which is the most important part!They do, as youd expect, soak up a good bit of sweat/oil if youre a sweaty sleeper like myself, so I usually wash them after about 2",These sleep masks are GREAT!
'5'.'0',"I got my first cushioned sleep mask with a travel pillow about a year or so ago and it was completely worn out, so I ordered these as replacements. I was somewhat skeptical because of their price, but figured it was an inexpensive test run. I was pleasantly surprised by the quality of these masks! I get very restful sleep with them and wake up less in the overnight hours. I love the adjustable strap, as my previous one had Velcro closure that would sometimes get stuck to my hair. They are very soft and comfortable, and dont slip off my head at night. Also, love the stitched edges, as my former one was glued I guess and the fabric had started separating from the foam.",Best eye masks I have EVER found!
'5'.'0',"I am one of those people that prefer complete darkness while sleeping and these deliver. These eye masks have an indent over the eye that helps seal the eye cavity to effectively block out the most light possible. I also notice that if I tighten the loop it blocks out all of the light without hurting me. Many other masks I have tried have not sealed out the light as well and gave me headaches from how tight I like it.I also enjoy that I can, in theory, swap out the masks every couple of days to help with the buildup of oils/sweat, but my other two masks were taken immediately ?'?Cons:","They look even better than in the photo. Love the colors, love the softness & love the sturdiness & comfort. Can even be washed & will keep their form. Great idea for them to be indented on the inside of the mask. Adds for extra comfort. Easy to adjust. Would definitely recommend. A good bargain for the price."
'5'.'0',"Bought the 3 pack for me and my husband and an extra for my travel bag. We both love how comfortably it fits and stays secure on your eyes while you sleep. Both side sleepers, eye masks tend to shift as you shift, but not these ones. They stay out all night!","I was pleasantly surprised at how comfortable this was to sleep with at night. It contours the eye area well so there is no light peeking through. The pockets keep direct pressure off the eyelids. (Although sometimes I get eyelash extensions so the pockets may be too shallow for those. I'll have to test that out later). I'm also a side sleeper so the mask was still soft to sleep on and didn't shift while tossing around. Typically other masks slip off my hair. The adjustable strap stayed in place and allowed me to get the right amount of tightness. It also didn't leave sleep lines on my face like other masks have done. I'm happy with the three pack and colors so i can have one for home, travel, and backup."
'5'.'0',Better than other masks,"I use these every night for the last year at least. The spacing for the eyes helps a lot for me as I sleep on my stomach. Other eye masks feel uncomfortable, pressing on your eyes or around your eyes. These havent caused me any discomfort most nights although one night my hair got stuck in strap... Overall I definitely recommend these for their good coverage and comfort."
'4'.'0',I bought these to protect my lash extensions and they have worked perfectly. The slight concave design has worked just as I've hoped. I end up favoring to sleep on one side and that eye always ended up losing more lashes on that side. These helped keep my eye from smashing on the pillow. The second thing they ended up helping with was blacking out the light when my husband wanted to keep the tv on. The flashing light would bother me and these blocked that out. Bought them for one reason and then ended up using them for another. They are very lightweight and soft. The band can be adjusted to fit and cane be slipped on and off very easily. I think they also come in several different color combinations also. They have definitely worked for me everything I've needed. I would recommend and buy again.,"I like the thickness of the soft material; really keeps the light out. The strap is a bit low for me, so I have to push it up above my ears, so it's not perfectly comfortable. But I'm happy with them all in all."
'4'.'0',Good quality,"To be blunt, Ive used these for sleeping, but I use them more for ""bedroom play"" over the years and Ive bought these more than once.  Overall they are good quality for the price and are quite soft and comfortable.Before trying these Ive used similar ones that have Velcro on the strap for adjusting.  Those caused some discomfort with my partners when the rough Velcro rubbed on their skin or caught in their hair.  This one has a completely smooth ""slip lock"" for tightening.  The idea is sound and avoids those issues, but because the strap is also relatively smooth it allow it to loosen somewhat easily if you move your head a lot.Ive developed methods to address this, but be aware that if you are a restless sleeper or use them for other vigorous activities you will need to be prepared to find a way to keep the slip lock at the right tightness.  Overall very good and will continue to buy these when the need arises."
'4'.'0',I use these quite frequently. I like the molded cups for the eyes. My eyelashes do not touch. They are fine for lowering the amount of light but they do not eliminate all light.,Its not eye protection for people who sleep with their faces smushed into their pillows
'4'.'0',"The light was blocked but I bought this bc I sleep with my face all mashed & smashed into my pillow. When I wake up, I have to wait like an hour for my eyeball to pop back into its spot from the pressure of this giant head that lays on top of it on the pillow all night. This mask kept it dark but all it did was create a layer of material in addition to my pillow case to smush my face into. Im returning to look for something more therapeutic. Great for $10 if you only want darkness.",These are pretty darn good
'4'.'0',They work for the most part but no matter what the headband that goes around your head always hurts! I tried above the ear and below the ear. I tried wrapped in a bun.,I wanted to like these but theyre just not working.
'4'.'0',They fir over the eyes but do not block the light 100%.  And then while sleeping I always wake up with them off to one side.,"Overall this is an excellent product. I use a sleep mask daily and have tried a number of brands. My go to is a manta mask. They don't use an elastic band. Manta masks are a little too warm for me in the summer so I switch to a nylon mask. This mask uses a slider band adjustment that is excellent. This type of band offers the greatest flexibility for sizing and it's easy to use. I gave 4 stars for 2 reasons. First, the eye cup is too shallow. Secondly, the mask coverage doesn't work for me. If the mask slides on your face light gets in. The mask should be a little larger. All and all good mask. I recommend for a small face."
'4'.'0',"I bought these for my son for Christmas and the jury is still out. They look like little bras.  They block out light as intended, but not sure about over all design.  A flatter face mask would be a little bit better than these, at least for general purpose use.","Light still comes in near the nose. Does not shape to your face unless you tighten it, however, by that time it's too tight. Otherwise very comfortable"
'4'.'0',Great value just not as secure,The fact that you get 3 for the price for 1 makes this a competitive buy vs other options on Amazon. Especially since I always lose them! The only downside is the strop sometimes slips upward for some reason but other than that it's a great purchase to truly get some deep sleep without having to buy blackout curtains.
'4'.'0',"Comfy, but bright light gets through","Mostly happy with these, but if my hubby forgets to turn off the lamp when he comes to bed, the light starts seeping through"
'4'.'0',soft and covers eye area well,fits smaller adult face
'4'.'0',"Soft, decent sleep mask","Overall it does its job! When I wear it, it blocks out all light and is nice and soft on my face. My only complaint is that it tends to slide up my face while I sleep--Ive tried adjusting the tightness of the band, but it doesnt help too much. Might be due to just how silky the mask is. But that downside doesnt bother me too much, so this item was worth purchasing for me!"
'4'.'0',They Dont Block out 100 percent of light but much better than regular sleep masks!,"I was thinking it would block out 100 percent of light with the design but it doesnt so I guess maybe my expectations werent realistic with that but still very happy and far superior than other sleep masks they are comfortable, adjustable strap and very soft. Would recommend"
'4'.'0',Quality product for Quality Sleep,"Bought these twice (over a few years) and Im buying them again! I work a day job and throw newspapers at night, so these are ESSENTIAL for daytime naps to keep me going!  Out of the 6 Ive bought - 1 just got wore out and went flat after a TON of use, 1 came unsewed after a TON of use and the rest are still going strong.  They stay on pretty well as long as Im not tossing and turning that night. Pros: deep eye cups are comfortable and dont put pressure on my eyes or bend my lashes. Very light proof foam.  The buckle is super adjustable.  Nice and smooth all around, edges and seams are even smooth.  Love that there are 3 in case one falls behind the bed, one for daily use and one to stick into my suitcase for travel. Cons: no covering for the nose which causes light Infiltration a bit, and you have to tighten them up pretty firmly to keep out light and make sure they stay on.  The elastic is getting stretched out after several months of constant use.  (used same mask nightly for 6 month).  Would be 5000 stars with a small nose pocket to keep light out and the mask in place.  It has really helped step up my sleep game, and soothes my night anxiety - especially when used along with a compression sleep sack."
'4'.'0',No pressure on eyelids and less abrasion on natural lashes. The contoured shape and cushioning around each eye really helps keep out light. If they had 2 straps,"These work great and are very comfortable on the face with little to no light gaps, whichis great. My only complaint is that the hook on the left side (when youre wearing it) can be extremely uncomfortable behind your ear because it isnt covered with anything soft to stop it digging into your head. So if youre a side sleeper or tend to turn your head a lot, you may not find this comfortable. I eventually found a way to make them work by how I position the strap on my head with my sleep bonnet, but I can see it being a problem for some."
'4'.'0',This blocks light well and is comfortable. It does sometimes slip when rolling over.,Not made for Caucasian faces
'4'.'0',"The nose opening is too low. I'm guessing it was made for Asian faces. I'm Caucasian and when I get it on my nose correctly the face mask presses on my eyeball. Even if I try to wear it lower, after a few minutes it moves on it's own and is uncomfortable. It is well made, just doesn't fit me or my husband correctly.",I think the nose piece could be thicker because it does let in a bit of light around the nose. I don't like how tightly I have to wear the mask in order for the light not to shine through. Overall for price and quality they kind of equal out.
'4'.'0',Light gets around my nose,Would be perfect if light didn't get under the nose area. It also slips with the smallest movement causing light to stream through the sides as well. Not a good for me
'4'.'0',"Comfortable, easy, and fits well enough","Slight gap in the nose area, which might be less of a problem if your nose is shorter than mine. Otherwise theyre comfortable and effective. Ill probably hand-stitch in a bit of extra padding to help with the nose issue."
'4'.'0',"Sleep mask, not really what I was looking for.","Ok, these sleep masks do the job I got them for, but I thought these were the REALLY thin stiff neoprene ones (which these are not).  These are like the standard cotton ones but with material scooped out of the middle of where your eyes go.  I honestly would have rather had the thin neoprene ones, as those dont make contact with your eyelids AT all, while these still do a little....also the thick cotton causes me to sweat at night where the bulky cotton touches around my eyes.  Also sleeping on my side, my pillow hits right at the edge of the sleep mask, knocking it out of place on my face which is a bit annoying.To be fair, other than those points these masks work perfectly fine as they are, and Im not troubled enough to return them or to buy the actual neoprene ones.  Im just like....whatever....fine.  They do the job, so it gets the 4 stars."
'4'.'0',Soft and comfortable. It fits pretty securely around my eyes and nose. No light gets under or around it unlike typical sleep mask. The only complaint I have it that the strap has a tendency to slide up the back of my head while I sleep.,"As far as eye bras go, these are DDs. Your eyelashes dont touch these generous cups"
'4'.'0',"So, Im a big hairy dude. In a lineup and you had to pick out who is likely to wear eye masks to bed, I would be one of the last people standing, but.... Much to my dismay, I have a flaw. Its only one so I can get over it, but my eyes dont close fully when I sleep. I dont mean the freaky people who look like theyre awake, just not fully closed. It means my eyes dry out terribly through the night if I dont have a mask on. Most masks cause my eyelashes touch the eyepiece. Im quick to ignore most such things, but it is nice that I dont have to with these. I have to loosen the strap completely so the cups lay mostly naturally (too tight and they get misshapen) and it would be nice if there were a couple more inches available (thats what who said?) In the strap, but in a motorcycle helmet I wear an XL which is big enough to serve as a semi natural habitat for horses etc. So, that is more of a problem with my huge melon than the mask. Im ordering 3 more packs because these types of products come and go, or change manufacturers and lose quality. Also, the notch is big enough to actually go around your nose, so the light blocking is pretty good, especially for a mask that isnt that tight. I wouldnt say 100%, but in the 90s. Definitely blocks the air from the (always on) ceiling fan with my stupid partially open eyes.",Soft & Blocks Light However the Plastic Sizer on Back Hurt my Head After Sleeping
'4'.'0',These eye masks are great and do a wonderful job blocking light. They are soft and comfortable on the eyes. What I had a problem with was the plastic slider on the back. It fit my head right in the middle and as I was sleeping (even with a pillow) I could feel it pushing into my head and it became painful. I returned these and ended up getting the version with the velcro closure.,"I need total darkness to sleep, and my partner likes a night light. These are good at blocking out the light. They're mostly comfortable and the adjustable strap is nice. I deducted one star because the strap is very stiff and hurts the tops of my ears. I wish the elastic was softer or coated."
'4'.'0',Finally can Sleep in darkness!,"My parents have these sleep masks.I told them they look like little bras for a little dolls. They left, but said that they're excellent. After trying it out, I decide to buy a set for myself. They are good. You definitely sleep in darkness. The only thing that I dislike, as they feel kind of warm at times. Otherwise a good purchase."
'4'.'0',"I didnt think I would actually be able to sleep with this on, but I actually did. I washed it prior to using. Very soft on my face which is important because I have very sensitive skin. I only have two minor issues:The part around my nose let light in. Not a huge deal, but it wasnt completely black out.It did shift several times and I had to reposition it. Im sure its because I move a lot and have a lot of hair. But It bothered me enough to wake me up.Overall its a good product and worth the money.","Eye part super comfy, strap pinches"
'4'.'0',The eye part is super cushy and works great. Very comfy. The back strap isn't as comfortable,"Close, but not quite as good as needed"
'4'.'0',"These are fine, if you sleep on your back and dont move the whole time that you are asleep.  If I tighten the strap enough to keep it in place, it makes an opening beside both sides of my nose that lets light in, defeating the whole purpose of the thing. If I leave it loose enough to seal out the light, any movement at all makes it fall off.  It really needs some sort of flexible frame around it. Something that can be shaped to fit different shapes of different faces. Something around the outside edge, that can also be molded to different shaped noses. And be ridged enough to be held in place by a headband that will keep it in place, and wont fall off when the wearer turns over in their sleep.  I suppose that if the user can sleep on their back, without moving, the whole time they are asleep, then this will work perfectly for them! If you move around in your sleep, then these probably wont work very well for you.  I worked for over 25 years on rotating shifts in machine shops. So I know what its like to try to sleep during the day and still put in a 10 hour shift at night for 2 weeks of four 10 hr shifts. Then do 2 weeks of five, 8 hr day shifts.  I also worked several years of rotating 8 hr shifts to keep a shop running 24",These are pretty good. I wanted them as extras and they work for that. They have to be too tight to be comfortable to block all of the light.
'4'.'0',Head band placement..,"The headband had to go over my ears for the mask to be centered over my eyes. OK but not perfect. My previous sleep mask had two bands, but was flat and my eyelashes touched it."
'4'.'0',These work better if you tighten the band up a bit.  Plan to buy more,"Perfect size and shape, edges a little rough"
'4'.'0',Perfect eye coverage once you get the right fit on the elastic. Nice cushion around the eye. The edges at the end of the fabric could be finished better so its not so raw and rough on the skin.,These eyeshades are ok. I had some that covered the bridge of the nose better
'4'.'0',I LOVE how these give your eyes room to move under them! They got a little warm on my eyes after a while but I still love these.,"i had no idea i needed a weighted sleeping mask, after hearing from twitter i decided to give it a try. super comfortable, interesting feeling. but finding the right tightness takes some time. this has nothing to do with the product, it is about your personal choice. it took me three nights to find the optimum tightness. Black is real black, no leak or whatsoever. I started using it in summer, so sweating is a little bit of an issue, but i am sure when the weather calms down, it will stop being a problem."
'4'.'0',Pretty Good Value .... But,"I received this sleep mask 8 days ago, and I have worn it overnight 7 times. I have written about my experience below:When I put this sleep mask on, I found it very comfortable, and I was immediately struck by just how good the light-blocking was. I was testing it during the day, with the sun shining in and essentially no shortage of ambient light. Despite this, I could not see any light leaking in, from any angle.The fabric on the inside (i.e. that is in contact with the wearers face) is soft, and I did not feel anything touching my eyes/eyelids while wearing the mask - owing to the indents that line up with the wearers eyes.I would point out to potential buyers that you will need to find a balance between having the strap tight enough that the mask doesnt slip off/dislodge in the night, and loose enough that you dont end up with temporary impressions in your skin upon waking. While the former is common sense, the latter may come as a surprise.In my opinion, this mask is perfect for back sleepers, or for any situation in which the wearer is sitting upright/almost upright while snoozing (e.g. on a flight). This mask isnt so great for side sleepers, in my experience, since the side of the mask can press in to the wearers temple, on whichever side the wearer is lying on.A final note is that the customer service provided by the seller is excellent. I wrote to the seller about those skin impressions mentioned above, and the seller responded promptly and was extremely helpful.Seller: 10/10Product:  For back sleepers, or use while sitting upright: 10/10  For side sleepers: 6/10  Light blocking: 10/10"
'4'.'0',They are very well made,Can't sleep late without them.  Second purchase.
'4'.'0',Soft and well,"For sleeping at night, no problem ....  but for day sleepers there is a slight amount of light leakage around the nose pad, however itll probably not bother most.  Still a good value for the price."
'4'.'0',Definitely give these. Wash before use.,"Strap: 9.5/10Fabric: 9/10Stitching: 8/10Mask shape: 10/10Smell out of packaging: 2.5/10The adjustable strap is a game changer. The plactic pieces on the strap are thin and small; I dont even notice them when wearing.The mask itself is a soft memory foam texture, with a silky fabric over top. The fabric stays relatively cool when wearing. Other masks in the past have given me the face sweats, but this one has kept my eyes cool and dry. The stitching is very secure, but has some untrimmed ends the could have been better cleaned up.The shape is wonderful! Keeps the light out, hugs my face nicely, flexible material and doesnt leave behind any lines on my face. When I blink with the mask on my eyelashes dont hit the inside of the mask. Love it!Now on to the negative... The masks smelt AWFUL when I first opened the package. The smell permeated through the room. I had to light a candle to ease the smell. The easiest way to explain the smell itself is fresh from the factory. Ive only ever smelt that smell when working retail and it was usually much lighter. Its a distinct chemically smell.I threw those masks in a tupperware with some laundry soap, and shook the smell away. Gave it a light hand scrub and many rinses; A good amount of dye and dust came out. After a good wash they were perfect! Ive had zero issues with them and I wear them every night.Great price, good quality, and helps me get a good night sleep! Just dont forget to wash them well before wearing. Would recommend and purchase again!"
'4'.'0',i like them but i should have gotten designs because you can see how oily my face is.,Love how they fit an the darkness.they provide
'4'.'0',Good product but wish it didn't smell like some kind of chemicals.,"As my hubby now goes to sleep before the sun goes down, I bought these for him, and for me on the other end of that spectrum, sleeping in a bit after sunrise.Theyre soft, feel silky, and the design with the dome shape to keep them from pressing against your eyes is great.  They dont block out 100% of the light, there are always little gaps here and there, but its about 90% and thats great."
